math,physics,chemistry,cs,coding_interest,analytical_interest,machine_interest,building_interest,electronics_interest,logic_aptitude,target_career
87,84,89,75,40,96,49,38,35,48,Software Development
85,67,74,72,15,41,70,88,19,88,Civil Engineering
76,80,57,100,63,90,83,34,99,79,Robotics / Automation
59,53,87,89,61,41,28,93,98,30,Data Science / AI
84,81,69,58,64,38,32,99,76,89,Electrical Engineering
76,61,84,72,81,41,25,68,27,89,Cybersecurity
62,67,76,64,66,88,74,64,80,87,Cybersecurity
62,75,73,65,70,67,43,41,91,65,Electronics & Communication
67,75,48,49,72,90,40,45,66,39,Mechanical Engineering
64,68,74,100,40,44,52,50,79,40,Cybersecurity
87,69,69,56,29,39,59,98,29,57,Civil Engineering
74,67,74,60,18,63,62,52,79,89,Electronics & Communication
82,94,68,82,17,36,63,59,84,32,Electronics & Communication
85,65,73,75,71,10,55,48,59,83,Electronics & Communication
76,60,70,83,79,87,38,72,38,64,Cloud / DevOps
96,86,100,61,72,13,59,53,95,81,Electrical Engineering
88,74,100,60,69,26,89,78,13,80,Mechanical Engineering
62,63,40,65,20,92,64,27,69,53,Software Development
63,74,75,100,43,58,51,37,68,71,Civil Engineering
89,63,56,83,58,45,63,42,20,90,Software Development
55,99,87,66,79,16,54,38,93,38,Software Development
49,92,68,97,13,41,35,12,89,49,Cloud / DevOps
51,63,70,75,26,70,95,24,82,57,Robotics / Automation
68,81,53,72,99,42,57,31,87,44,Electrical Engineering
76,79,80,54,49,23,84,13,49,78,Robotics / Automation
51,91,74,61,35,19,85,98,90,61,Mechanical Engineering
98,73,87,76,99,48,97,86,25,35,Cybersecurity
100,98,66,92,78,64,94,57,18,94,Cybersecurity
84,92,55,87,11,63,72,23,65,76,Robotics / Automation
90,45,52,40,100,29,65,32,76,64,Cloud / DevOps
70,82,92,76,69,65,85,44,51,61,Mechanical Engineering
99,51,44,74,45,67,41,69,82,78,Electronics & Communication
80,71,40,73,13,73,51,33,72,57,Electronics & Communication
55,82,75,58,43,53,45,86,99,65,Civil Engineering
67,56,69,92,81,11,76,34,20,60,Electrical Engineering
60,79,62,60,72,81,40,98,70,92,Civil Engineering
73,56,61,53,67,12,21,47,38,81,Cloud / DevOps
100,72,59,78,49,94,84,57,70,100,Robotics / Automation
73,68,79,88,64,80,52,55,99,88,Electronics & Communication
67,63,65,40,49,42,39,25,34,70,Data Science / AI
52,92,94,70,78,98,33,34,37,91,Mechanical Engineering
83,76,100,95,85,77,86,46,22,54,Cybersecurity
73,57,45,78,39,56,32,48,11,98,Cybersecurity
63,50,60,55,45,15,16,80,47,46,Robotics / Automation
100,85,69,100,23,11,83,46,70,91,Robotics / Automation
76,59,92,84,53,33,16,42,71,44,Electrical Engineering
59,69,56,50,61,72,19,83,90,36,Civil Engineering
88,100,49,85,29,29,82,48,20,61,Mechanical Engineering
65,64,61,59,81,63,87,86,89,58,Electronics & Communication
75,59,74,74,58,67,66,48,85,84,Electronics & Communication
71,58,61,88,82,89,17,88,22,56,Data Science / AI
82,57,71,88,43,94,20,30,40,52,Electronics & Communication
49,80,60,85,19,30,10,62,67,90,Mechanical Engineering
63,44,45,75,14,39,46,100,46,88,Data Science / AI
78,58,79,45,97,39,43,90,85,55,Cloud / DevOps
74,53,60,75,24,79,38,92,29,64,Cybersecurity
62,66,85,64,19,17,31,49,86,66,Robotics / Automation
87,55,77,100,25,69,98,48,99,81,Electronics & Communication
40,60,78,71,74,79,73,66,20,35,Electrical Engineering
80,62,71,72,51,87,42,13,21,59,Software Development
92,75,75,67,96,44,83,15,32,90,Cloud / DevOps
67,65,75,67,45,33,84,65,91,92,Electrical Engineering
79,100,83,69,70,54,62,52,51,43,Cybersecurity
93,65,40,56,52,62,98,73,46,81,Electronics & Communication
46,66,70,100,14,68,21,50,42,71,Data Science / AI
79,68,82,40,61,75,10,94,79,89,Electronics & Communication
78,83,47,95,16,34,76,56,89,93,Robotics / Automation
80,65,79,100,16,36,44,80,26,66,Robotics / Automation
77,75,63,59,99,72,25,13,90,60,Data Science / AI
87,59,71,66,49,80,11,80,62,41,Cloud / DevOps
82,77,85,65,24,69,25,92,29,93,Civil Engineering
70,57,63,81,47,75,100,44,63,91,Robotics / Automation
86,58,83,99,41,68,80,28,59,54,Electronics & Communication
81,100,58,52,27,18,45,63,53,94,Mechanical Engineering
48,94,79,73,10,46,48,85,84,92,Civil Engineering
79,55,100,77,29,67,78,71,54,72,Electronics & Communication
76,82,77,79,79,58,68,51,34,60,Cloud / DevOps
63,79,98,99,39,62,15,50,70,78,Electrical Engineering
98,64,55,72,94,93,29,73,14,46,Cybersecurity
75,88,44,100,22,66,22,77,68,31,Civil Engineering
72,65,54,45,28,62,93,29,19,90,Mechanical Engineering
87,73,50,51,53,89,98,60,93,40,Robotics / Automation
69,97,66,47,96,78,58,50,90,92,Electrical Engineering
71,67,40,74,89,18,40,90,97,66,Data Science / AI
71,82,97,95,21,65,22,91,100,42,Electronics & Communication
70,55,100,76,31,98,48,13,15,71,Software Development
75,71,72,72,47,55,57,65,28,61,Electronics & Communication
66,63,69,65,62,82,97,33,31,52,Data Science / AI
64,73,66,100,88,58,89,97,40,93,Mechanical Engineering
40,88,88,40,39,69,91,42,68,62,Mechanical Engineering
69,66,48,60,69,46,96,79,30,39,Civil Engineering
58,98,84,97,66,54,85,48,91,84,Robotics / Automation
85,55,62,83,68,48,35,59,71,43,Electrical Engineering
56,82,66,68,58,83,55,83,47,67,Civil Engineering
85,78,64,95,12,94,60,45,11,36,Robotics / Automation
58,81,78,69,46,39,87,55,38,54,Robotics / Automation
79,53,83,71,96,94,97,27,90,42,Software Development
67,87,59,49,49,66,14,84,56,46,Civil Engineering
51,81,50,100,21,47,51,63,32,55,Cybersecurity
43,97,73,73,79,56,77,74,44,51,Robotics / Automation
66,77,69,94,71,47,53,24,69,39,Cybersecurity
76,74,64,73,38,96,96,60,81,76,Mechanical Engineering
79,46,49,88,60,11,43,78,25,88,Civil Engineering
77,69,70,81,96,96,43,84,58,77,Software Development
66,60,72,57,96,39,70,13,89,71,Electrical Engineering
81,46,85,83,92,18,91,69,99,68,Cloud / DevOps
78,86,94,93,24,27,15,14,48,93,Data Science / AI
47,52,60,75,22,40,78,27,59,88,Civil Engineering
82,61,72,61,95,99,79,63,85,49,Cloud / DevOps
65,50,56,50,93,22,72,88,62,65,Software Development
60,87,55,100,98,57,37,66,66,60,Civil Engineering
82,74,57,87,22,97,57,79,92,75,Electrical Engineering
66,73,100,73,60,45,34,25,68,41,Cloud / DevOps
92,61,69,100,92,91,86,12,16,72,Data Science / AI
65,99,80,64,26,82,36,18,80,56,Cloud / DevOps
84,86,79,46,39,52,28,86,10,65,Civil Engineering
64,68,68,86,28,26,79,42,32,44,Software Development
77,51,75,85,26,11,55,40,85,71,Electrical Engineering
83,88,82,83,32,43,16,26,63,97,Data Science / AI
73,47,76,78,18,70,67,56,75,43,Electronics & Communication
79,52,53,93,74,38,88,15,94,96,Electronics & Communication
74,82,70,75,68,92,13,17,71,81,Electronics & Communication
89,64,71,66,97,23,72,66,19,40,Cybersecurity
68,67,73,66,87,28,18,26,45,100,Civil Engineering
93,58,67,67,58,86,77,47,68,94,Electrical Engineering
96,74,85,48,22,99,24,93,93,100,Electrical Engineering
79,85,71,94,65,67,39,62,53,88,Electrical Engineering
67,93,100,68,63,22,50,64,50,62,Civil Engineering
68,93,93,65,29,97,70,18,21,40,Data Science / AI
68,67,49,58,65,22,57,26,81,37,Electronics & Communication
59,60,69,79,95,25,62,55,95,84,Software Development
98,57,84,71,46,86,49,55,23,94,Cloud / DevOps
74,82,53,81,29,94,71,38,23,74,Robotics / Automation
77,79,74,100,24,45,83,38,64,33,Robotics / Automation
65,64,60,65,13,33,44,99,49,73,Civil Engineering
65,89,91,64,10,33,28,82,94,81,Civil Engineering
62,79,61,86,18,28,91,13,21,97,Mechanical Engineering
78,49,93,100,58,63,68,53,30,77,Mechanical Engineering
65,66,74,81,51,82,86,20,16,49,Cybersecurity
84,100,67,60,89,16,96,20,44,86,Cloud / DevOps
54,61,69,100,72,87,66,63,44,57,Electronics & Communication
67,75,69,96,24,54,65,24,46,92,Electronics & Communication
100,64,62,93,95,49,15,38,60,37,Software Development
85,99,78,68,36,48,37,27,42,67,Civil Engineering
83,88,82,84,25,10,73,65,32,46,Robotics / Automation
91,89,90,86,78,100,39,74,81,75,Software Development
72,74,88,60,60,15,65,12,68,39,Civil Engineering
80,66,70,98,83,64,83,61,100,83,Cybersecurity
77,72,49,88,24,61,12,51,31,88,Civil Engineering
84,100,65,78,21,65,23,41,65,81,Electronics & Communication
78,95,68,80,20,60,49,53,38,72,Cybersecurity
84,74,63,78,19,75,91,24,77,95,Mechanical Engineering
91,56,71,62,54,54,92,28,40,43,Cybersecurity
92,49,61,81,42,35,32,87,29,39,Cybersecurity
98,71,61,100,90,73,69,82,84,87,Cybersecurity
53,40,76,65,90,50,29,66,18,90,Robotics / Automation
59,82,73,64,90,48,45,85,17,75,Civil Engineering
55,85,79,73,74,19,49,69,67,34,Software Development
100,55,47,62,57,46,19,92,21,94,Electrical Engineering
74,75,66,81,69,84,80,15,67,54,Robotics / Automation
56,93,68,95,87,70,74,29,17,87,Mechanical Engineering
80,78,78,83,53,20,74,92,32,35,Mechanical Engineering
84,91,72,87,100,66,66,77,76,50,Cybersecurity
73,93,59,100,57,46,59,62,53,36,Civil Engineering
74,50,71,62,18,52,22,81,96,79,Electronics & Communication
87,62,63,40,42,94,87,29,52,40,Cybersecurity
68,40,46,88,54,49,93,99,94,80,Electrical Engineering
86,78,55,74,86,100,20,49,81,78,Cybersecurity
74,54,92,90,26,95,99,97,77,41,Electronics & Communication
71,72,73,40,75,56,12,56,49,53,Cloud / DevOps
71,61,54,69,53,72,34,38,27,49,Data Science / AI
100,81,61,85,47,22,74,79,77,34,Robotics / Automation
95,85,70,63,89,26,86,58,29,50,Data Science / AI
85,77,83,86,98,89,31,66,15,82,Cybersecurity
90,63,89,78,96,40,66,88,46,87,Data Science / AI
100,61,96,78,78,40,49,70,34,77,Cloud / DevOps
65,64,65,82,69,46,58,74,77,83,Cybersecurity
82,63,69,100,35,87,27,42,16,91,Civil Engineering
100,78,70,77,80,23,76,25,46,40,Data Science / AI
84,56,66,44,44,67,75,28,65,41,Cloud / DevOps
80,81,62,100,67,54,13,63,16,80,Electronics & Communication
56,50,73,93,57,40,59,20,57,58,Software Development
100,65,86,74,50,22,93,52,28,47,Software Development
72,85,79,46,46,70,99,27,100,90,Robotics / Automation
97,92,60,82,88,10,20,12,42,57,Data Science / AI
82,75,61,62,80,87,77,64,24,66,Data Science / AI
74,89,78,68,48,25,16,40,63,88,Data Science / AI
86,40,87,43,24,73,86,78,12,95,Cloud / DevOps
69,55,50,95,28,47,64,10,88,75,Electrical Engineering
67,77,69,83,83,63,33,95,95,40,Electronics & Communication
76,52,84,66,18,77,79,74,74,100,Electrical Engineering
51,65,92,90,59,70,15,91,59,77,Mechanical Engineering
69,66,65,100,12,55,18,54,40,43,Civil Engineering
80,78,85,79,27,15,55,79,53,52,Civil Engineering
71,69,68,74,97,69,99,71,90,53,Data Science / AI
85,72,80,73,18,68,14,47,35,35,Cloud / DevOps
76,42,83,81,15,50,49,75,60,99,Robotics / Automation
89,40,100,72,42,14,92,34,46,75,Software Development
91,56,79,56,93,52,44,25,57,85,Cloud / DevOps
65,100,67,78,66,59,53,33,73,93,Civil Engineering
88,79,72,81,76,44,20,64,20,85,Data Science / AI
100,71,73,93,79,47,51,23,20,71,Cybersecurity
91,89,79,54,49,67,87,64,31,86,Robotics / Automation
99,54,74,61,67,15,55,88,65,65,Software Development
74,76,74,82,19,95,91,61,56,95,Mechanical Engineering
99,78,66,92,13,28,87,96,66,34,Mechanical Engineering
92,53,78,87,18,40,92,56,56,79,Software Development
70,92,67,77,87,29,96,67,57,77,Robotics / Automation
72,72,53,49,19,83,27,77,56,80,Civil Engineering
98,59,55,40,50,93,45,41,24,33,Cybersecurity
65,52,94,93,73,76,59,81,25,63,Mechanical Engineering
64,100,84,69,100,67,37,88,46,92,Civil Engineering
40,100,49,45,35,25,27,19,67,52,Robotics / Automation
90,100,90,85,21,97,50,95,54,38,Civil Engineering
83,84,81,80,80,79,47,48,30,52,Cybersecurity
76,71,58,69,75,38,25,35,27,60,Robotics / Automation
49,70,55,55,13,56,80,83,57,89,Civil Engineering
77,92,83,46,80,26,88,21,18,69,Cloud / DevOps
60,86,55,70,71,77,62,62,83,39,Cybersecurity
83,57,71,50,50,92,19,67,69,96,Civil Engineering
65,76,46,82,26,80,91,85,33,46,Robotics / Automation
74,80,73,99,74,17,25,76,29,68,Civil Engineering
76,65,71,84,31,30,51,100,38,74,Electronics & Communication
75,72,59,63,46,20,42,35,91,100,Electronics & Communication
53,98,51,62,26,90,48,88,78,41,Civil Engineering
64,85,65,97,74,92,31,85,84,49,Civil Engineering
64,76,57,100,31,94,89,87,53,35,Mechanical Engineering
57,76,79,82,20,15,92,83,43,56,Robotics / Automation
72,70,70,72,89,91,13,73,90,99,Cybersecurity
89,100,61,50,92,48,71,41,97,81,Cybersecurity
73,100,57,100,68,19,98,17,30,86,Robotics / Automation
100,63,78,100,71,69,36,53,87,48,Electronics & Communication
69,68,61,56,50,54,61,26,57,95,Electronics & Communication
65,53,70,61,23,50,40,69,25,64,Robotics / Automation
78,48,74,90,41,28,22,16,47,79,Electrical Engineering
45,77,88,53,41,30,51,83,50,54,Civil Engineering
100,78,59,73,30,73,75,69,73,69,Robotics / Automation
83,73,78,58,12,21,60,74,68,60,Civil Engineering
77,50,68,58,37,84,55,16,16,66,Robotics / Automation
63,90,86,85,86,93,96,70,46,98,Mechanical Engineering
58,67,88,77,23,65,27,43,56,81,Civil Engineering
100,77,72,69,15,61,16,82,81,54,Electronics & Communication
77,69,80,92,80,46,19,59,74,87,Cybersecurity
63,52,42,84,89,97,88,25,26,42,Electrical Engineering
58,40,75,100,57,53,81,56,28,55,Electronics & Communication
74,84,71,73,61,74,15,15,14,47,Civil Engineering
88,67,74,80,70,76,68,29,87,95,Electrical Engineering
64,86,67,61,51,88,50,30,60,68,Civil Engineering
83,58,70,74,74,75,78,72,100,68,Electronics & Communication
91,79,69,89,12,57,52,96,24,83,Civil Engineering
95,80,70,51,84,49,98,90,13,90,Cybersecurity
59,67,60,71,93,84,83,39,16,91,Cybersecurity
75,79,68,83,77,90,89,58,28,61,Software Development
75,42,55,72,83,99,24,34,12,86,Cybersecurity
56,80,92,96,63,29,62,98,36,82,Civil Engineering
71,94,72,68,74,88,70,17,100,47,Electrical Engineering
65,67,64,78,81,51,94,71,77,78,Civil Engineering
77,72,76,96,50,32,68,78,53,99,Civil Engineering
89,49,40,91,55,96,97,92,98,63,Electronics & Communication
54,68,52,42,34,41,45,81,48,58,Civil Engineering
83,83,61,40,48,46,100,36,98,92,Robotics / Automation
66,77,47,78,71,54,81,45,46,45,Robotics / Automation
74,80,71,57,60,54,28,47,15,66,Data Science / AI
92,69,69,58,54,66,93,42,71,57,Electrical Engineering
68,58,67,100,78,44,81,99,44,47,Data Science / AI
54,47,92,71,88,85,40,41,16,97,Cloud / DevOps
64,87,60,100,91,39,16,22,62,72,Robotics / Automation
85,64,100,64,22,97,27,10,80,50,Electronics & Communication
86,76,89,100,93,70,71,93,35,66,Cybersecurity
75,60,76,62,46,92,17,21,93,59,Electrical Engineering
100,74,64,78,32,63,32,14,60,93,Cybersecurity
54,57,88,63,47,14,11,48,82,43,Civil Engineering
59,80,87,87,46,68,92,79,77,93,Mechanical Engineering
89,60,48,100,74,69,44,34,24,72,Cybersecurity
70,68,89,85,68,92,42,33,11,73,Mechanical Engineering
81,100,60,91,82,96,34,32,88,81,Cloud / DevOps
75,76,92,84,75,51,21,61,95,42,Electrical Engineering
83,88,64,59,27,71,51,41,10,63,Electrical Engineering
59,42,100,55,40,67,44,52,48,31,Mechanical Engineering
71,67,74,89,93,56,98,40,17,45,Cloud / DevOps
87,63,67,80,49,30,61,97,74,69,Electrical Engineering
71,96,77,88,91,47,57,88,38,58,Data Science / AI
84,89,72,51,71,29,68,87,57,83,Civil Engineering
80,62,62,85,99,80,70,78,95,57,Data Science / AI
93,72,74,100,97,86,20,77,67,97,Cybersecurity
78,100,78,43,19,82,24,17,80,94,Electrical Engineering
86,77,89,87,83,78,29,31,51,96,Cloud / DevOps
72,53,66,59,24,97,36,84,72,41,Electronics & Communication
66,80,95,82,17,68,26,75,63,88,Civil Engineering
57,78,87,64,82,17,81,69,96,69,Mechanical Engineering
72,72,58,86,60,42,10,37,84,39,Electrical Engineering
73,78,56,67,64,54,99,18,79,37,Mechanical Engineering
85,66,95,67,70,14,46,62,33,47,Electrical Engineering
78,85,48,43,57,58,67,58,58,40,Electronics & Communication
52,90,61,100,27,93,54,25,32,98,Electrical Engineering
66,74,93,100,77,26,38,10,12,68,Robotics / Automation
100,90,85,85,96,79,64,78,58,59,Data Science / AI
86,63,57,74,68,54,29,45,34,44,Software Development
72,65,80,92,94,63,88,12,40,56,Software Development
76,94,52,71,22,86,14,67,86,36,Electrical Engineering
64,44,68,72,15,61,66,39,79,57,Software Development
97,81,54,100,27,74,47,39,83,70,Electronics & Communication
93,80,66,57,40,48,28,94,76,58,Electronics & Communication
69,88,98,100,48,45,17,81,85,52,Electronics & Communication
67,55,72,43,81,73,16,54,92,78,Electronics & Communication
79,69,63,46,99,63,62,29,48,78,Data Science / AI
82,64,52,40,78,70,40,38,48,48,Cloud / DevOps
74,98,94,66,17,81,62,63,81,97,Electrical Engineering
65,79,55,80,59,41,42,36,52,40,Robotics / Automation
86,90,68,71,57,21,78,34,16,64,Robotics / Automation
61,59,66,81,96,87,87,15,19,54,Electronics & Communication
88,59,92,70,37,71,36,52,48,31,Cloud / DevOps
74,60,40,90,34,25,71,41,99,56,Electronics & Communication
86,67,71,84,40,80,51,46,58,89,Electronics & Communication
51,64,81,52,93,55,49,43,56,95,Robotics / Automation
79,51,76,74,69,22,70,50,36,77,Civil Engineering
50,89,58,60,62,15,82,38,28,32,Robotics / Automation
78,89,54,76,80,84,84,63,47,49,Data Science / AI
81,82,72,68,52,39,58,82,41,93,Civil Engineering
62,73,53,40,80,93,97,53,42,92,Robotics / Automation
81,85,40,56,68,31,55,31,27,99,Robotics / Automation
84,100,70,61,33,79,92,17,77,34,Mechanical Engineering
72,92,60,60,95,16,10,62,27,59,Software Development
67,57,71,100,100,29,11,37,74,88,Electronics & Communication
79,68,65,46,17,89,91,95,88,91,Electronics & Communication
88,70,67,100,12,10,78,80,62,31,Civil Engineering
79,60,63,95,12,77,45,78,46,32,Electronics & Communication
76,50,83,62,99,96,65,32,23,42,Data Science / AI
100,88,63,98,40,34,89,77,42,75,Robotics / Automation
76,84,77,59,60,20,57,61,68,61,Cloud / DevOps
65,87,64,67,48,97,20,93,93,34,Civil Engineering
60,78,100,55,21,61,58,58,80,90,Software Development
75,93,68,83,91,11,99,31,20,93,Cloud / DevOps
59,78,67,92,92,52,82,22,77,35,Mechanical Engineering
92,100,78,80,37,98,82,70,44,35,Mechanical Engineering
77,66,75,69,97,45,79,82,94,34,Data Science / AI
77,91,54,95,50,12,36,85,28,80,Civil Engineering
94,70,40,64,19,48,30,82,40,79,Civil Engineering
94,71,55,65,96,79,52,59,27,40,Cybersecurity
87,80,66,68,16,22,65,39,19,73,Electrical Engineering
69,58,94,69,51,13,91,44,67,92,Cloud / DevOps
93,94,84,67,55,80,58,65,33,78,Data Science / AI
81,71,56,80,89,47,41,19,20,64,Data Science / AI
57,89,63,78,58,91,29,59,50,76,Data Science / AI
79,68,78,66,21,10,49,66,56,64,Data Science / AI
88,51,71,100,26,21,33,65,67,95,Electrical Engineering
59,61,77,78,23,13,21,55,80,41,Civil Engineering
80,79,79,94,59,11,47,62,59,40,Electronics & Communication
81,68,80,100,41,83,76,31,97,78,Electrical Engineering
73,57,86,72,27,44,48,44,73,48,Electrical Engineering
42,84,61,73,31,65,45,63,48,91,Data Science / AI
79,74,80,67,56,42,41,90,73,55,Electronics & Communication
82,68,81,86,23,27,48,10,60,72,Electrical Engineering
60,88,61,89,52,66,52,65,93,47,Mechanical Engineering
80,99,66,68,51,87,98,35,71,70,Mechanical Engineering
74,67,81,45,60,50,47,98,91,92,Electrical Engineering
59,55,84,100,51,58,45,60,56,44,Cloud / DevOps
73,69,71,95,85,79,33,97,80,33,Cloud / DevOps
61,75,84,84,100,36,66,47,98,38,Electrical Engineering
77,87,40,87,96,73,27,91,48,60,Cybersecurity
65,44,77,99,94,29,64,58,19,87,Robotics / Automation
72,86,94,98,84,61,78,74,98,83,Software Development
99,83,71,46,56,99,78,86,91,40,Mechanical Engineering
71,59,100,71,41,94,95,55,31,35,Electrical Engineering
76,80,70,100,52,65,23,11,22,63,Cloud / DevOps
65,74,58,51,75,76,81,84,98,58,Robotics / Automation
65,71,63,62,57,60,69,96,85,94,Civil Engineering
53,70,47,88,29,54,13,71,23,67,Civil Engineering
76,50,65,61,63,20,24,28,54,69,Civil Engineering
79,92,41,77,68,36,76,71,54,90,Mechanical Engineering
72,82,73,61,66,99,67,50,18,68,Software Development
70,60,86,75,100,24,12,53,92,43,Electrical Engineering
100,71,59,47,41,76,32,80,30,72,Civil Engineering
47,48,74,84,81,64,69,39,61,53,Cybersecurity
51,85,62,77,91,94,65,60,13,55,Robotics / Automation
99,85,65,58,85,64,59,10,100,57,Data Science / AI
42,61,66,57,45,100,18,83,23,98,Cybersecurity
73,73,66,63,56,51,35,68,24,63,Robotics / Automation
77,78,53,100,77,91,50,86,59,80,Software Development
73,72,80,79,54,55,68,89,32,68,Civil Engineering
89,76,60,81,88,85,20,96,27,70,Software Development
57,73,69,71,40,49,24,33,57,48,Electronics & Communication
73,43,61,76,59,63,86,27,83,79,Electronics & Communication
77,56,88,59,33,72,91,78,98,52,Electrical Engineering
89,78,60,100,72,46,27,33,50,87,Software Development
57,85,85,62,55,11,72,27,34,79,Robotics / Automation
95,68,74,79,62,97,72,63,100,86,Electronics & Communication
72,84,81,43,31,20,82,13,38,67,Mechanical Engineering
94,47,85,95,45,38,78,46,31,88,Robotics / Automation
58,65,53,71,80,75,24,83,24,64,Electronics & Communication
70,83,89,100,56,79,15,66,79,57,Electronics & Communication
66,68,44,60,23,93,41,48,14,87,Mechanical Engineering
89,96,51,64,54,21,66,25,40,56,Civil Engineering
74,76,57,82,100,88,90,64,31,47,Data Science / AI
67,71,78,75,36,17,82,54,78,65,Mechanical Engineering
68,70,68,68,51,100,47,47,83,64,Electrical Engineering
71,95,78,69,27,62,17,45,93,46,Electrical Engineering
85,66,87,81,41,28,51,41,96,80,Electronics & Communication
73,78,46,54,28,83,90,44,90,83,Robotics / Automation
57,74,95,100,67,19,91,21,61,95,Robotics / Automation
84,79,42,65,98,57,68,72,51,30,Software Development
63,62,67,66,68,91,95,99,55,38,Electronics & Communication
45,83,53,79,60,37,64,37,73,64,Civil Engineering
100,58,40,69,46,53,80,83,26,92,Civil Engineering
91,100,51,83,97,16,15,22,90,88,Software Development
68,70,100,47,25,30,66,68,10,84,Cloud / DevOps
78,79,86,76,98,26,93,48,30,65,Software Development
79,66,74,68,93,56,42,20,57,51,Software Development
84,66,75,74,60,90,49,99,39,84,Civil Engineering
